product_id,product_name,category,sub_category,base_price,cost_price,season
P001,Men's Basic T-shirt,Men,Shirt,19.99,7.0,All
P002,Men's Premium T-shirt,Men,Shirt,29.99,11.0,All
P003,Men's Slim Jeans,Men,Pants,49.99,18.0,All
P004,Men's Chino Pants,Men,Pants,44.99,15.0,All
P005,Men's Hoodie,Men,Jacket,59.99,22.0,Winter
P006,Men's Puffer Jacket,Men,Jacket,89.99,35.0,Winter
P007,Men's Polo Shirt,Men,Shirt,34.99,12.0,Summer
P008,Women's Floral Dress,Women,Dress,54.99,20.0,Summer
P009,Women's Casual Dress,Women,Dress,44.99,16.0,All
P010,Women's Blouse,Women,Top,34.99,12.0,All
P011,Women's Skirt,Women,Skirt,39.99,14.0,Summer
P012,Women's Skinny Jeans,Women,Pants,54.99,20.0,All
P013,Women's Hoodie,Women,Jacket,59.99,22.0,Winter
P014,Women's Puffer Jacket,Women,Jacket,84.99,32.0,Winter
P015,Women's Cardigan,Women,Top,49.99,18.0,Winter
P016,Kids T-shirt,Kids,Shirt,14.99,5.0,All
P017,Kids Jeans,Kids,Pants,29.99,10.0,All
P018,Kids Jacket,Kids,Jacket,44.99,16.0,Winter
P019,Kids Dress,Kids,Dress,24.99,9.0,Summer
P020,Unisex Cap,All,Accessories,14.99,4.0,All
P021,Unisex Socks (3-pack),All,Accessories,9.99,2.5,All
P022,Leather Belt,All,Accessories,19.99,6.0,All
P023,Canvas Tote Bag,All,Accessories,24.99,8.0,All
P024,Men's Swim Shorts,Men,Swimwear,29.99,10.0,Summer
P025,Women's Swimsuit,Women,Swimwear,44.99,16.0,Summer
